template_id,template_name,scenario_id,scenario_category,is_mutated,num_resources,num_resource_types,has_storage,has_vm,has_nsg,has_vnet,has_keyvault,has_sql,has_webapp,count_storage,count_vm,count_nsg,count_vnet,any_public_access,all_https_only,any_weak_tls,any_http_allowed,pct_secure_boot,pct_vtpm_enabled,any_no_encryption,any_password_auth,any_open_inbound,any_open_ssh,any_open_rdp,any_ddos_disabled,all_encryption_enabled,any_diagnostics_disabled,any_no_patching,all_auto_patch,pct_managed_identity,any_no_identity,any_versioning_disabled,any_soft_delete_disabled,any_no_availability_set,all_managed_disks,any_unmanaged_disk,any_no_service_endpoints,any_broad_address_space,num_dependencies,avg_resource_degree,max_resource_degree,has_isolated_resources,max_dependency_depth,dependency_density,has_any_misconfiguration,misconfiguration_count,unique_rule_count,security_issue_count,operational_issue_count,reliability_issue_count,has_critical_issue,has_high_issue,max_severity_level,cis_compliance_pct
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,baseline,control,0,2,2,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0.97,0.98,0,0,0,0,0,0,1,0,0,1,0.86,0,0,0,0,1,0,0,0,1,0.5,1,0,1,0.5,0,0,0,0,0,0,0,0,0,100.0
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,security_high,security,1,2,2,1,1,1,0,1,1,0,1,2,2,0,0,1,1,0,0.47,0.5,0,0,1,0,1,0,0,0,0,1,0.8,0,0,0,0,1,0,0,0,1,0.5,1,0,2,0.5,1,4,4,4,0,0,0,1,3,60
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,security_medium,security,1,2,2,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0.15,0.33,0,1,0,0,0,0,0,0,0,1,0.95,0,0,0,0,1,0,0,0,1,0.5,1,1,0,0.5,1,5,5,5,0,0,0,1,3,50
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,operational_high,operational,1,2,2,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.98,0.8,0,0,0,0,0,0,1,0,0,1,0.34,0,1,1,0,1,0,0,0,0,0.0,0,0,2,0.0,1,2,2,0,2,0,0,0,2,80
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,operational_medium,operational,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0.81,0.9,0,0,0,0,0,0,1,1,0,1,0.23,1,0,0,0,1,0,0,0,1,0.5,1,1,1,0.5,1,2,2,0,2,0,0,0,2,80
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,reliability_high,reliability,1,2,2,1,1,1,0,1,1,0,1,2,2,0,0,1,0,0,0.96,0.82,0,0,0,0,0,0,1,1,0,1,0.83,0,0,0,0,1,0,0,0,0,0.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,100.0
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,reliability_medium,reliability,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0.9,0.85,0,0,0,0,0,0,1,0,0,1,0.97,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,100.0
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,security_all,security,1,2,2,1,1,1,0,1,1,0,1,2,0,0,1,0,0,1,0.62,0.04,0,1,1,0,0,0,0,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,5,5,5,0,0,0,1,3,50
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,operational_all,operational,1,2,2,1,1,1,0,1,1,0,2,2,0,0,0,1,0,0,0.81,0.99,0,0,0,0,0,0,1,1,0,1,0.01,1,1,0,0,1,0,0,0,0,0.0,0,0,1,0.0,1,3,3,0,3,0,0,1,3,70
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,reliability_all,reliability,1,2,2,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0.84,0.86,0,0,0,0,0,0,1,0,0,1,0.97,0,0,0,0,1,0,0,0,1,0.5,1,1,0,0.5,0,0,0,0,0,0,0,0,0,100.0
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,security_operational,combined,1,2,2,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0.91,0.96,0,0,0,0,0,0,1,0,0,1,0.84,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,1,5,5,2,3,0,0,1,3,50
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,security_reliability,combined,1,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0.85,0.98,0,0,0,0,0,0,1,0,0,1,0.75,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,1,5,5,4,0,1,0,1,3,50
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,operational_reliability,combined,1,2,2,1,1,1,0,1,1,0,2,0,2,0,0,1,0,0,0.99,1.0,0,0,0,0,0,0,1,1,0,1,0.82,0,0,0,0,1,0,0,0,0,0.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,100.0
quickstarts/storage-blob-0001/azuredeploy,azuredeploy,all_mutations,combined,1,2,2,1,1,1,0,1,1,0,2,3,0,0,0,1,0,0,0.82,0.96,0,0,0,0,0,0,1,0,0,1,0.72,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,100.0
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,baseline,control,0,4,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.86,0.94,0,0,0,0,0,0,1,0,0,1,0.91,0,0,0,0,1,0,0,0,3,0.75,3,0,3,0.25,0,0,0,0,0,0,0,0,0,100.0
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,security_high,security,1,4,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.55,0.62,0,1,0,0,0,0,0,0,0,1,0.89,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0.0,1,1,1,1,0,0,0,0,2,90
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,security_medium,security,1,4,4,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0.16,0.44,1,1,0,0,0,0,0,1,0,1,0.96,0,0,0,0,1,0,0,0,1,0.25,1,0,1,0.083,1,4,4,4,0,0,0,1,3,60
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,operational_high,operational,1,4,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.8,0.9,0,0,0,0,0,0,1,1,1,0,0.33,0,0,0,0,1,0,0,0,0,0.0,0,1,3,0.0,1,2,2,0,2,0,0,0,2,80
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,operational_medium,operational,1,4,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0.83,0.86,0,0,0,0,0,0,1,0,0,1,0.16,1,0,0,0,1,0,0,0,3,0.75,3,1,0,0.25,1,1,1,0,1,0,0,0,2,90
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,reliability_high,reliability,1,4,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.9,0.92,0,0,0,0,0,0,1,1,0,1,0.92,0,0,0,1,0,1,0,0,0,0.0,0,1,0,0.0,1,2,2,0,0,2,0,0,2,80
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,reliability_medium,reliability,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.88,0.93,0,0,0,0,0,0,1,0,0,1,0.77,0,0,0,1,0,1,0,0,0,0.0,0,0,2,0.0,1,2,2,0,0,2,0,0,2,80
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,security_all,security,1,4,4,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0.59,0.11,0,0,0,0,0,0,0,1,0,1,0.84,0,0,0,0,1,0,0,0,1,0.25,1,0,0,0.083,1,1,1,1,0,0,0,0,2,90
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,operational_all,operational,1,4,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0.89,0.82,0,0,0,0,0,0,1,1,0,1,0.36,0,0,0,0,1,0,0,0,0,0.0,0,1,3,0.0,1,1,1,0,1,0,0,0,2,90
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,reliability_all,reliability,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.98,0.94,0,0,0,0,0,0,1,1,0,1,0.82,0,0,0,1,1,0,0,0,0,0.0,0,1,1,0.0,1,1,1,0,0,1,0,0,2,90
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,security_operational,combined,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.82,0.86,0,0,0,0,0,0,1,1,0,1,0.74,0,0,0,0,1,0,0,0,3,0.75,3,1,0,0.25,1,3,3,3,0,0,0,1,3,70
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,security_reliability,combined,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.96,0.92,0,0,0,0,0,0,1,1,0,1,0.79,0,0,0,0,1,0,0,0,3,0.75,3,0,2,0.25,1,2,2,2,0,0,0,0,2,80
quickstarts/cosmosdb-0002/azuredeploy,azuredeploy,operational_reliability,combined,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.94,0.99,0,0,0,0,0,0,1,1,0,1,0.94,0,0,0,0,1,0,0,0,1,0.25,1,1,1,0.083,1,4,4,0,3,1,0,1,3,60
