resource_id,resource_type,is_mutated,mutation_id,mutation_severity,has_misconfiguration,label_count,labels,source_template,allowBlobPublicAccess,supportsHttpsTrafficOnly,minimumTlsVersion,allowSharedKeyAccess,publicNetworkAccess,encryption_services_blob_enabled,encryption_services_file_enabled,networkAcls_defaultAction,enablePurgeProtection,enableSoftDelete,enableRbacAuthorization,softDeleteRetentionInDays,enableDdosProtection,securityRules,osProfile_linuxConfiguration_disablePasswordAuthentication,storageProfile_osDisk_encryptionSettings_enabled,diagnosticsProfile_bootDiagnostics_enabled,httpsOnly,siteConfig_minTlsVersion,siteConfig_http20Enabled,location,sku_name,sku_tier,kind
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_public_blob_access,Microsoft.Storage/storageAccounts,1,storage_public_blob_access,high,1,2,"CIS_3.7,Storage_PublicAccess",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,1.0,,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_weak_tls,Microsoft.Storage/storageAccounts,1,storage_weak_tls,medium,1,2,"CIS_3.8,Storage_WeakTLS",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,1.0,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_http_allowed,Microsoft.Storage/storageAccounts,1,storage_http_allowed,high,1,2,"CIS_3.1,Storage_HTTPAllowed",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,0.0,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_open_firewall,Microsoft.Storage/storageAccounts,1,storage_open_firewall,high,1,2,"CIS_3.6,Storage_FirewallOpen",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,,,,,1.0,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_insecure_transfer,Microsoft.Storage/storageAccounts,1,storage_insecure_transfer,critical,1,2,"CIS_3.1,Storage_HTTPAllowed",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,0.0,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_no_blob_versioning,Microsoft.Storage/storageAccounts,1,storage_no_blob_versioning,low,1,1,Storage_NoVersioning,templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_no_soft_delete,Microsoft.Storage/storageAccounts,1,storage_no_soft_delete,medium,1,2,"CIS_3.10,Storage_NoSoftDelete",templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_allow_shared_key,Microsoft.Storage/storageAccounts,1,storage_allow_shared_key,medium,1,1,Storage_SharedKeyAccess,templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,1.0,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_no_infrastructure_encryption,Microsoft.Storage/storageAccounts,1,storage_no_infrastructure_encryption,medium,1,1,Storage_NoInfraEncryption,templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
/subscriptions/template-sim/resourceGroups/template-rg/providers/Microsoft.Storage/storageAccounts/[parameters('storageAccountName')]#storage_cross_tenant_replication,Microsoft.Storage/storageAccounts,1,storage_cross_tenant_replication,low,1,1,Storage_CrossTenantReplication,templates/azure-quickstart-templates/quickstarts/microsoft.storage/storage-sftp/main.bicep,,,,,,,,,,,,,,,,,,,,,467.0,899.0,,232.0
